feature,importance
SalesLag14,0.32209623
Promo,0.19173984
SalesRollingMean28,0.16106339
SalesLag28,0.08847148
SalesRollingMean7,0.038417112
SalesLag1,0.030607007
SalesLag7,0.021652034
SalesLag56,0.0179361
DayOfWeek,0.016046014
DowSin,0.014237148
WeekOfYear,0.011119151
IsWeekend,0.0105977785
Day,0.009460786
IsMonthEnd,0.008855447
DayOfYear,0.008764961
SalesRollingStd28,0.005262111
Month,0.004980405
DowCos,0.0047823545
StateHolidayCode,0.0035801586
IsMonthStart,0.0033548968
SchoolHoliday,0.0028883796
Store,0.0026332913
MonthSin,0.002554705
StoreTypeCode,0.0024191048
MonthCos,0.0023287754
Promo2InInterval,0.002108206
Promo2Active,0.002082678
Year,0.0018249293
Promo2,0.0017204387
AssortmentCode,0.0015425592
PromoIntervalCode,0.0013885536
CompetitionDistance,0.001347413
Quarter,0.0011778589
CompetitionOpenMonths,0.0009587354
Open,0.0
